feature,mean_shap_importance
perimeter_worst,0.9803144
concave points_worst,0.7040242
concave points_mean,0.65655804
radius_worst,0.64509493
area_worst,0.6151079
concavity_worst,0.43492028
concavity_mean,0.16151032
perimeter_mean,0.082025245
radius_mean,0.051549435
area_mean,0.049089875
