feature,Logistic Regression_SHAP,XGBoost_SHAP
area_worst,3.931152079765854,0.6151079
radius_worst,2.483869904513675,0.64509493
perimeter_mean,2.0935347263486834,0.082025245
concave points_mean,1.9327624881031984,0.65655804
radius_mean,1.5703481494685856,0.051549435
perimeter_worst,0.7173372893464917,0.9803144
area_mean,0.5319541286505284,0.049089875
concavity_worst,0.5066386804041951,0.43492028
concavity_mean,0.3450817956371083,0.16151032
concave points_worst,0.3232630022882383,0.7040242
