,area_worst,radius_worst,concave points_worst,perimeter_worst,concave points_mean
area_worst,1.0,0.9866760100073955,0.7317244053885853,0.9357654447065785,0.7097364365018912
radius_worst,0.9866760100073954,1.0,0.7096641126114439,0.9308079660432997,0.696487730934059
concave points_worst,0.7317244053885853,0.7096641126114439,1.0,0.7399866651464946,0.870092701817205
perimeter_worst,0.9357654447065786,0.9308079660432996,0.7399866651464946,1.0,0.7014769919444939
concave points_mean,0.7097364365018912,0.696487730934059,0.8700927018172049,0.7014769919444938,0.9999999999999999
