,coefficient
area_worst,5.171003870299245
radius_worst,3.1267968041483694
concave points_mean,2.547957547291813
perimeter_worst,0.9239901275326915
area_mean,0.7227379151246721
concavity_worst,0.6656505495603646
concave points_worst,0.3958562303468302
concavity_mean,-0.481772971775571
radius_mean,-2.0364716547888513
perimeter_mean,-2.7362850295423313
