metric,threshold,precision,recall,score
YOUDEN,0.472,1.0,0.9285714285714286,0.9285714285714286
F1,0.472,1.0,0.9285714285714286,0.9629629629629629
F2,0.133,0.8571428571428571,1.0,0.9677419354838709
