,importance
concave points_mean,0.18628640550288647
perimeter_worst,0.17755611482772338
area_worst,0.15461936801357895
concave points_worst,0.14560935314211804
radius_worst,0.14105290283151528
concavity_mean,0.04926366025354142
perimeter_mean,0.04360390695695846
area_mean,0.042214762804367166
radius_mean,0.03063189590101932
concavity_worst,0.02916162976629152
