metric,threshold,precision,recall,score
YOUDEN,0.256,0.9333333333333333,1.0,0.9583333333333335
F1,0.557,1.0,0.9523809523809523,0.975609756097561
F2,0.256,0.9333333333333333,1.0,0.9859154929577465
