,precision,recall,f1-score,support
0,0.96,1.0,0.9795918367346939,72.0
1,1.0,0.9285714285714286,0.9629629629629629,42.0
accuracy,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
macro avg,0.98,0.9642857142857143,0.9712773998488284,114.0
weighted avg,0.9747368421052632,0.9736842105263158,0.9734654095556351,114.0
