precision,recall,thresholds
0.3684210526315789,1.0,0.0
0.45652173913043476,1.0,0.0010919540229885056
0.46153846153846156,1.0,0.0031318681318681313
0.4772727272727273,1.0,0.0038513513513513515
0.4827586206896552,1.0,0.004170731707317073
0.49411764705882355,1.0,0.00456
0.5,1.0,0.004943305374339857
0.5060240963855421,1.0,0.005700506092680472
0.5121951219512195,1.0,0.006278129530044423
0.5185185185185185,1.0,0.006983219483219482
0.525,1.0,0.008543736263736263
0.5316455696202531,1.0,0.008783822154856638
0.5384615384615384,1.0,0.009971868131868131
0.5454545454545454,1.0,0.010834570834570834
0.5526315789473685,1.0,0.011862599839185204
0.56,1.0,0.011964242356416735
0.5753424657534246,1.0,0.012274579175613658
0.5833333333333334,1.0,0.014168552069691967
0.5915492957746479,1.0,0.014263219483219482
0.6,1.0,0.017685405405405405
0.6086956521739131,1.0,0.020789641477261325
0.6176470588235294,1.0,0.0220983070983071
0.6268656716417911,1.0,0.022427754333652978
0.6363636363636364,1.0,0.032076566966732244
0.6461538461538462,1.0,0.03343707409479935
0.65625,1.0,0.03901532774775065
0.6666666666666666,1.0,0.04229657925090047
0.6774193548387096,1.0,0.042731779906861556
0.6885245901639344,1.0,0.04926246926052924
0.7,1.0,0.04983873299679299
0.711864406779661,1.0,0.0505981133527587
0.7241379310344828,1.0,0.05105062526831763
0.7368421052631579,1.0,0.054062698888182464
0.75,1.0,0.055967174531756134
0.7636363636363637,1.0,0.059223292752732526
0.7777777777777778,1.0,0.07407830058279766
0.7924528301886793,1.0,0.12065320091685998
0.8076923076923077,1.0,0.12118373008019151
0.8235294117647058,1.0,0.1305797470248491
0.84,1.0,0.13212292631968864
0.8571428571428571,1.0,0.14433771169276727
0.8541666666666666,0.9761904761904762,0.15270295763804814
0.8723404255319149,0.9761904761904762,0.17749404741127453
0.8913043478260869,0.9761904761904762,0.18574736492431662
0.8888888888888888,0.9523809523809523,0.24944716266150407
0.9090909090909091,0.9523809523809523,0.32400735063825664
0.9069767441860465,0.9285714285714286,0.3992297196607463
0.9285714285714286,0.9285714285714286,0.42757413939921113
0.9512195121951219,0.9285714285714286,0.4445343096629953
0.975,0.9285714285714286,0.47159304725956974
1.0,0.9285714285714286,0.5161284045382029
1.0,0.9047619047619048,0.551891227426809
1.0,0.8809523809523809,0.7311422361756709
1.0,0.8571428571428571,0.7316676027307767
1.0,0.8333333333333334,0.761513634284448
1.0,0.8095238095238095,0.7710825104606396
1.0,0.7857142857142857,0.7804125419152208
1.0,0.7619047619047619,0.8212698069267184
1.0,0.7380952380952381,0.8450139652506522
1.0,0.7142857142857143,0.8735261128274452
1.0,0.6904761904761905,0.9111154167106007
1.0,0.6666666666666666,0.9265535737892889
1.0,0.6428571428571429,0.9266880398145902
1.0,0.6190476190476191,0.9718264293341653
1.0,0.5952380952380952,0.985
1.0,0.5714285714285714,0.9906689710974687
1.0,0.5476190476190477,0.995
1.0,0.5238095238095238,0.9967092739896087
1.0,0.5,0.9981318681318682
1.0,0.47619047619047616,1.0
1.0,0.0,1.0
