threshold,sensitivity,specificity,precision,recall,f1,f2,youden
0.0,1.0,0.0,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,0.0
0.001,1.0,0.3055555555555556,0.45652173913043476,1.0,0.6268656716417911,0.8076923076923076,0.3055555555555556
0.002,1.0,0.3194444444444444,0.46153846153846156,1.0,0.631578947368421,0.8108108108108109,0.3194444444444444
0.003,1.0,0.3194444444444444,0.46153846153846156,1.0,0.631578947368421,0.8108108108108109,0.3194444444444444
0.004,1.0,0.375,0.4827586206896552,1.0,0.6511627906976745,0.8235294117647057,0.375
0.005,1.0,0.4305555555555556,0.5060240963855421,1.0,0.672,0.8366533864541833,0.4305555555555556
0.006,1.0,0.4444444444444444,0.5121951219512195,1.0,0.6774193548387096,0.84,0.4444444444444444
0.007,1.0,0.4722222222222222,0.525,1.0,0.6885245901639344,0.8467741935483871,0.4722222222222223
0.008,1.0,0.4722222222222222,0.525,1.0,0.6885245901639344,0.8467741935483871,0.4722222222222223
0.009,1.0,0.5,0.5384615384615384,1.0,0.7,0.8536585365853658,0.5
0.01,1.0,0.5138888888888888,0.5454545454545454,1.0,0.7058823529411765,0.8571428571428571,0.5138888888888888
0.011,1.0,0.5277777777777778,0.5526315789473685,1.0,0.711864406779661,0.8606557377049181,0.5277777777777777
0.012,1.0,0.5694444444444444,0.5753424657534246,1.0,0.7304347826086957,0.8713692946058091,0.5694444444444444
0.013,1.0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.875,0.5833333333333335
0.014,1.0,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.875,0.5833333333333335
0.015,1.0,0.6111111111111112,0.6,1.0,0.75,0.8823529411764706,0.6111111111111112
0.016,1.0,0.6111111111111112,0.6,1.0,0.75,0.8823529411764706,0.6111111111111112
0.017,1.0,0.6111111111111112,0.6,1.0,0.75,0.8823529411764706,0.6111111111111112
0.018,1.0,0.625,0.6086956521739131,1.0,0.7567567567567568,0.8860759493670887,0.625
0.019,1.0,0.625,0.6086956521739131,1.0,0.7567567567567568,0.8860759493670887,0.625
0.02,1.0,0.625,0.6086956521739131,1.0,0.7567567567567568,0.8860759493670887,0.625
0.021,1.0,0.6388888888888888,0.6176470588235294,1.0,0.7636363636363637,0.8898305084745762,0.6388888888888888
0.022,1.0,0.6388888888888888,0.6176470588235294,1.0,0.7636363636363637,0.8898305084745762,0.6388888888888888
0.023,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.024,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.025,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.026,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
0.027,1.0,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8974358974358974,0.6666666666666665
