metric,threshold,precision,recall,score
YOUDEN,0.62,0.9433566433566434,0.9245847176079733,0.8909775188599296
F1,0.62,0.9433566433566434,0.9245847176079733,0.9331670789757247
F2,0.16,0.8408172021215499,0.9716500553709857,0.9413570997998185
