threshold,sensitivity,specificity,precision,recall,f1,f2,youden
0.0,1.0,0.0,0.3725818972209284,1.0,0.542879992413586,0.748037833295651,0.0
0.01,0.9905869324473976,0.2911580594679186,0.45630718667206305,0.9905869324473976,0.6238812912809538,0.8013862820948665,0.28174499191531616
0.02,0.9811738648947952,0.5688184663536776,0.5859434857380064,0.9811738648947952,0.7295221947551841,0.8603337176886091,0.5499923312484728
0.03,0.9811738648947952,0.6836071987480439,0.6566525104239107,0.9811738648947952,0.7835930816513612,0.8900664576320374,0.664781063642839
0.04,0.9811738648947952,0.7201486697965571,0.6809113008094445,0.9811738648947952,0.8017620879025025,0.8997793898779731,0.7013225346913522
0.05,0.9811738648947952,0.7593896713615023,0.7138267397122784,0.9811738648947952,0.824069338900739,0.9108332501758373,0.7405635362562974
0.06,0.9764119601328904,0.7958528951486697,0.7451487963606496,0.9764119601328904,0.8432114084650204,0.9176757610452627,0.7722648552815601
0.07,0.9764119601328904,0.81537558685446,0.762260180750901,0.9764119601328904,0.8546754480728647,0.9232777893195248,0.7917875469873504
0.08,0.9716500553709857,0.8266040688575901,0.77255291005291,0.9716500553709857,0.8592427464550226,0.9228370726197863,0.7982541242285756
0.09,0.9716500553709857,0.8350156494522691,0.780983305323499,0.9716500553709857,0.8645574604556217,0.925324952985888,0.8066657048232548
0.1,0.9716500553709857,0.8406103286384976,0.786839370718681,0.9716500553709857,0.8681744287458573,0.9269970224689338,0.8122603840094833
0.11,0.9716500553709857,0.8462050078247261,0.792275828460039,0.9716500553709857,0.8716807819900604,0.9286611551213321,0.8178550631957118
0.12,0.9716500553709857,0.8573943661971832,0.8042536464605915,0.9716500553709857,0.8790113518454736,0.9320167342157767,0.8290444215681687
0.13,0.9716500553709857,0.8685054773082943,0.8160375229614492,0.9716500553709857,0.886270647552244,0.9353483048096525,0.8401555326792798
0.14,0.9716500553709857,0.8741001564945228,0.8224232935251173,0.9716500553709857,0.8900677448104396,0.93704703811574,0.8457502118655083
0.15,0.9716500553709857,0.8769170579029734,0.826058045298167,0.9716500553709857,0.8920701868128816,0.9378980136242496,0.848567113273959
0.16,0.9716500553709857,0.8881455399061032,0.8408172021215499,0.9716500553709857,0.9002039945437448,0.9413570997998185,0.8597955952770888
0.17,0.966888150609081,0.8881455399061032,0.8401079822633939,0.966888150609081,0.8977071156423715,0.9375672634518427,0.8550336905151841
0.18,0.9622369878183832,0.8937402190923317,0.8470774238549174,0.9622369878183832,0.8995081823659614,0.9356772447824131,0.8559772069107149
0.19,0.9574750830564784,0.8937402190923317,0.846654590873945,0.9574750830564784,0.8969910825027604,0.9318321227221432,0.8512153021488101
0.2,0.9528239202657808,0.8965179968701096,0.8499396150285342,0.9528239202657808,0.8965772189544529,0.9289461263568434,0.8493419171358901
0.21,0.9528239202657808,0.8965179968701096,0.8499396150285342,0.9528239202657808,0.8965772189544529,0.9289461263568434,0.8493419171358901
0.22,0.9528239202657808,0.9020735524256651,0.8567072917962111,0.9528239202657808,0.9004663466754161,0.9306581809727923,0.8548974726914459
0.23,0.9528239202657808,0.9048904538341158,0.8610262286732875,0.9528239202657808,0.9026512206249959,0.9315383434643293,0.8577143740998965
0.24,0.9528239202657808,0.9048904538341158,0.8610262286732875,0.9528239202657808,0.9026512206249959,0.9315383434643293,0.8577143740998965
0.25,0.9528239202657808,0.9104460093896714,0.8694677871148458,0.9528239202657808,0.9069701575020724,0.9332903650276716,0.863269929655452
0.26,0.9528239202657808,0.9160015649452269,0.875450693097752,0.9528239202657808,0.9106935617573916,0.9350102667475733,0.8688254852110076
0.27,0.9528239202657808,0.9187793427230047,0.8786181139122317,0.9528239202657808,0.9126153187923951,0.9358819977562906,0.8716032629887854
0.28,0.9481727574750831,0.9187793427230047,0.8781130634071811,0.9481727574750831,0.9101074818017993,0.9321057560768231,0.8669521001980878
0.29,0.9481727574750831,0.9187793427230047,0.8781130634071811,0.9481727574750831,0.9101074818017993,0.9321057560768231,0.8669521001980878
0.3,0.9481727574750831,0.9187793427230047,0.8781130634071811,0.9481727574750831,0.9101074818017993,0.9321057560768231,0.8669521001980878
0.31,0.9434108527131784,0.9187793427230047,0.8774071810542399,0.9434108527131784,0.9077231900766941,0.9283983286544277,0.862190195436183
0.32,0.9434108527131784,0.9215962441314554,0.8807012987012988,0.9434108527131784,0.9096449471116976,0.929246710668729,0.8650070968446336
0.33,0.9434108527131784,0.9244131455399061,0.8841298701298701,0.9434108527131784,0.9116084814735489,0.930102770348318,0.8678239982530844
0.34,0.9386489479512734,0.9244131455399061,0.8837814380741211,0.9386489479512734,0.9090267258797452,0.9262066664522142,0.8630620934911797
0.35,0.9386489479512734,0.9244131455399061,0.8837814380741211,0.9386489479512734,0.9090267258797452,0.9262066664522142,0.8630620934911797
0.36,0.9386489479512734,0.9272300469483568,0.8883110547988597,0.9386489479512734,0.9112642473943751,0.9270952515513257,0.8658789948996304
0.37,0.9386489479512734,0.9300469483568076,0.8924336763633416,0.9386489479512734,0.9133492514039983,0.9279350448329794,0.8686958963080811
