,importance
area_mean,1.808086633682251
radius_mean,2.0987837314605713
perimeter_mean,2.20509672164917
concavity_mean,4.137506484985352
concavity_worst,4.250117301940918
concave points_mean,6.180920600891113
area_worst,9.059133529663086
concave points_worst,14.272007942199707
perimeter_worst,38.70265197753906
radius_worst,42.62336730957031
