fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.0660377358490566,0.99402386
0.0,0.07075471698113207,0.99338984
0.0,0.14622641509433962,0.9933775
0.0,0.22641509433962265,0.99335325
0.0,0.29245283018867924,0.9932407
0.0,0.2971698113207547,0.9931078
0.0,0.37735849056603776,0.9930068
0.0,0.3867924528301887,0.9928629
0.0,0.39622641509433965,0.9927128
0.0,0.4009433962264151,0.9926803
0.0,0.4339622641509434,0.9925223
0.0,0.44339622641509435,0.9923964
0.0,0.4716981132075472,0.9918126
0.0,0.49528301886792453,0.9905504
0.0,0.5141509433962265,0.9903768
0.0,0.5330188679245284,0.9903544
0.0,0.5377358490566038,0.9899995
0.0,0.5566037735849056,0.98973244
0.0,0.5613207547169812,0.9895812
0.0,0.5801886792452831,0.98944795
0.0,0.6556603773584906,0.9831678
0.0,0.6650943396226415,0.9828342
0.0,0.6698113207547169,0.9826948
0.0,0.6792452830188679,0.981614
0.0,0.7688679245283019,0.95694166
0.0028011204481792717,0.7688679245283019,0.9530026
0.0028011204481792717,0.7877358490566038,0.9490022
0.008403361344537815,0.7877358490566038,0.94619906
0.008403361344537815,0.8113207547169812,0.929876
0.011204481792717087,0.8113207547169812,0.9287512
0.011204481792717087,0.8490566037735849,0.8803209
0.014005602240896359,0.8490566037735849,0.8778488
0.014005602240896359,0.8679245283018868,0.8565557
0.01680672268907563,0.8679245283018868,0.8310193
0.01680672268907563,0.8726415094339622,0.8240414
0.022408963585434174,0.8726415094339622,0.81966066
0.022408963585434174,0.8820754716981132,0.79602253
0.028011204481792718,0.8820754716981132,0.7604949
0.028011204481792718,0.8915094339622641,0.75591123
0.028011204481792718,0.910377358490566,0.71136534
0.03081232492997199,0.910377358490566,0.65986335
0.03081232492997199,0.9198113207547169,0.6564091
0.03361344537815126,0.9198113207547169,0.63937455
0.03361344537815126,0.9245283018867925,0.6222533
0.047619047619047616,0.9245283018867925,0.5133925
0.047619047619047616,0.9339622641509434,0.4932898
0.056022408963585436,0.9339622641509434,0.43437418
0.056022408963585436,0.9386792452830188,0.42423433
0.07563025210084033,0.9386792452830188,0.35982096
0.07563025210084033,0.9433962264150944,0.33987793
0.08123249299719888,0.9433962264150944,0.3170332
0.08123249299719888,0.9528301886792453,0.2728244
0.10364145658263306,0.9528301886792453,0.21156491
0.10364145658263306,0.9575471698113207,0.19640867
0.10644257703081232,0.9575471698113207,0.1955323
0.10644257703081232,0.9622641509433962,0.18162096
0.1092436974789916,0.9622641509433962,0.17938441
0.1092436974789916,0.9669811320754716,0.17734894
0.11204481792717087,0.9669811320754716,0.1752518
0.11204481792717087,0.9716981132075472,0.16491383
0.17647058823529413,0.9716981132075472,0.07749282
0.17647058823529413,0.9764150943396226,0.07526902
0.2184873949579832,0.9764150943396226,0.058156725
0.2184873949579832,0.9811320754716981,0.058150567
0.2605042016806723,0.9811320754716981,0.04305457
0.2661064425770308,0.9811320754716981,0.042573854
0.30532212885154064,0.9811320754716981,0.032555718
0.31092436974789917,0.9811320754716981,0.031675152
0.32212885154061627,0.9811320754716981,0.029601876
0.3277310924369748,0.9811320754716981,0.029290762
0.3585434173669468,0.9811320754716981,0.026479132
0.3641456582633053,0.9811320754716981,0.025955664
0.43137254901960786,0.9811320754716981,0.020111602
0.4425770308123249,0.9811320754716981,0.01966717
0.453781512605042,0.9811320754716981,0.019305147
