,precision,recall,f1-score,support
0,0.9556786703601108,0.9663865546218487,0.9610027855153204,357.0
1,0.9423076923076923,0.9245283018867925,0.9333333333333333,212.0
accuracy,0.9507908611599297,0.9507908611599297,0.9507908611599297,0.9507908611599297
macro avg,0.9489931813339015,0.9454574282543207,0.9471680594243268,569.0
weighted avg,0.9506968648291569,0.9507908611599297,0.9506936047374975,569.0
